instance,bks,source
PSC1-C1-50-5,1923813,Mauri2021-TableA1
PSC2-C1-50-5,1932058,Mauri2021-TableA1
PSC3-C1-50-5,1932525,Mauri2021-TableA1
PSC4-C1-50-5,1910011,Mauri2021-TableA1
PSC5-C1-50-5,1896699,Mauri2021-TableA1
PSC1-C2-50-5,1637849,Mauri2021-TableA1
PSC2-C2-50-5,1639257,Mauri2021-TableA1
PSC3-C2-50-5,1639186,Mauri2021-TableA1
PSC4-C2-50-5,1644747,Mauri2021-TableA1
PSC5-C2-50-5,1640702,Mauri2021-TableA1
PSC1-C3-50-5,13062979,Mauri2021-TableA1
PSC2-C3-50-5,13068572,Mauri2021-TableA1
PSC3-C3-50-5,12993637,Mauri2021-TableA1
PSC4-C3-50-5,13067059,Mauri2021-TableA1
PSC5-C3-50-5,13029230,Mauri2021-TableA1
PSC1-C4-50-5,1879299,Mauri2021-TableA1
PSC2-C4-50-5,1881687,Mauri2021-TableA1
PSC3-C4-50-5,1879770,Mauri2021-TableA1
PSC4-C4-50-5,1875020,Mauri2021-TableA1
PSC5-C4-50-5,1877115,Mauri2021-TableA1
PSC1-C5-50-5,13134021,Mauri2021-TableA1
PSC2-C5-50-5,13077855,Mauri2021-TableA1
PSC3-C5-50-5,13124987,Mauri2021-TableA1
PSC4-C5-50-5,13136304,Mauri2021-TableA1
PSC5-C5-50-5,13096549,Mauri2021-TableA1
PSC1-C1-50-10,3273933,Mauri2021-TableA2
PSC2-C1-50-10,3281633,Mauri2021-TableA2
PSC3-C1-50-10,3278805,Mauri2021-TableA2
PSC4-C1-50-10,3280108,Mauri2021-TableA2
PSC5-C1-50-10,3275726,Mauri2021-TableA2
PSC1-C2-50-10,2994047,Mauri2021-TableA2
PSC2-C2-50-10,3006413,Mauri2021-TableA2
PSC3-C2-50-10,3005927,Mauri2021-TableA2
PSC4-C2-50-10,3006242,Mauri2021-TableA2
PSC5-C2-50-10,3002662,Mauri2021-TableA2
PSC1-C3-50-10,25723690,Mauri2021-TableA2
PSC2-C3-50-10,25724900,Mauri2021-TableA2
PSC3-C3-50-10,25620849,Mauri2021-TableA2
PSC4-C3-50-10,25721003,Mauri2021-TableA2
PSC5-C3-50-10,25673618,Mauri2021-TableA2
PSC1-C4-50-10,3473505,Mauri2021-TableA2
PSC2-C4-50-10,3468677,Mauri2021-TableA2
PSC3-C4-50-10,3469526,Mauri2021-TableA2
PSC4-C4-50-10,3461825,Mauri2021-TableA2
PSC5-C4-50-10,3468948,Mauri2021-TableA2
PSC1-C5-50-10,25717527,Mauri2021-TableA2
PSC2-C5-50-10,25637410,Mauri2021-TableA2
PSC3-C5-50-10,25709498,Mauri2021-TableA2
PSC4-C5-50-10,25711846,Mauri2021-TableA2
PSC5-C5-50-10,25675802,Mauri2021-TableA2
PSC1-C1-100-5,3791953,Mauri2021-TableA3
PSC2-C1-100-5,3781155,Mauri2021-TableA3
PSC3-C1-100-5,3788935,Mauri2021-TableA3
PSC4-C1-100-5,3780738,Mauri2021-TableA3
PSC5-C1-100-5,3800805,Mauri2021-TableA3
PSC1-C2-100-5,3202958,Mauri2021-TableA3
PSC2-C2-100-5,3215931,Mauri2021-TableA3
PSC3-C2-100-5,3214679,Mauri2021-TableA3
PSC4-C2-100-5,3225899,Mauri2021-TableA3
PSC5-C2-100-5,3204528,Mauri2021-TableA3
PSC1-C3-100-5,25739169,Mauri2021-TableA3
PSC2-C3-100-5,25717294,Mauri2021-TableA3
PSC3-C3-100-5,25581309,Mauri2021-TableA3
PSC4-C3-100-5,25748929,Mauri2021-TableA3
PSC5-C3-100-5,25677344,Mauri2021-TableA3
PSC1-C4-100-5,3634814,Mauri2021-TableA3
PSC2-C4-100-5,3632900,Mauri2021-TableA3
PSC3-C4-100-5,3640496,Mauri2021-TableA3
PSC4-C4-100-5,3619326,Mauri2021-TableA3
PSC5-C4-100-5,3635451,Mauri2021-TableA3
PSC1-C5-100-5,25866758,Mauri2021-TableA3
PSC2-C5-100-5,25753189,Mauri2021-TableA3
PSC3-C5-100-5,25801967,Mauri2021-TableA3
PSC4-C5-100-5,25870231,Mauri2021-TableA3
PSC5-C5-100-5,25814142,Mauri2021-TableA3
PSC1-C1-100-10,6522230,Mauri2021-TableA4
PSC2-C1-100-10,6521388,Mauri2021-TableA4
PSC3-C1-100-10,6520109,Mauri2021-TableA4
PSC4-C1-100-10,6532939,Mauri2021-TableA4
PSC5-C1-100-10,6541321,Mauri2021-TableA4
PSC1-C2-100-10,5955980,Mauri2021-TableA4
PSC2-C2-100-10,5952226,Mauri2021-TableA4
PSC3-C2-100-10,5956768,Mauri2021-TableA4
PSC4-C2-100-10,5966485,Mauri2021-TableA4
PSC5-C2-100-10,5940591,Mauri2021-TableA4
PSC1-C3-100-10,51041556,Mauri2021-TableA4
PSC2-C3-100-10,51016842,Mauri2021-TableA4
PSC3-C3-100-10,50971064,Mauri2021-TableA4
PSC4-C3-100-10,51052915,Mauri2021-TableA4
PSC5-C3-100-10,50994136,Mauri2021-TableA4
PSC1-C4-100-10,6754051,Mauri2021-TableA4
PSC2-C4-100-10,6749386,Mauri2021-TableA4
PSC3-C4-100-10,6750915,Mauri2021-TableA4
PSC4-C4-100-10,6756103,Mauri2021-TableA4
PSC5-C4-100-10,6746728,Mauri2021-TableA4
PSC1-C5-100-10,51093618,Mauri2021-TableA4
PSC2-C5-100-10,51079935,Mauri2021-TableA4
PSC3-C5-100-10,51030227,Mauri2021-TableA4
PSC4-C5-100-10,51105228,Mauri2021-TableA4
PSC5-C5-100-10,51049870,Mauri2021-TableA4
