datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260710-212130,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1,exact,1,0,0,600,OPTIMAL,134555.00,134555.00,0.00000000,487.69,488.06,-1.00,-1.00,-1.00,48617,-1.00,134555.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1_m1_exact_s0_20260710-212130.gurobi.log
20260710-212939,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2,exact,1,0,0,600,FEASIBLE,263233.00,118092.50,0.55137654,600.00,600.00,-1.00,-1.00,-1.00,51326,-1.00,263233.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2_m1_exact_s0_20260710-212939.gurobi.log
20260710-213941,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3,exact,1,0,0,600,FEASIBLE,269164.00,117063.65,0.56508428,600.00,600.00,-1.00,-1.00,-1.00,48487,-1.00,269164.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3_m1_exact_s0_20260710-213941.gurobi.log
20260710-214943,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4,exact,1,0,0,600,FEASIBLE,228257.00,116668.35,0.48887286,600.00,600.00,-1.00,-1.00,-1.00,54790,-1.00,228257.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4_m1_exact_s0_20260710-214943.gurobi.log
20260710-215947,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5,exact,1,0,0,600,FEASIBLE,255525.00,119397.96,0.53273473,600.00,600.00,-1.00,-1.00,-1.00,58042,-1.00,255525.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5_m1_exact_s0_20260710-215947.gurobi.log
20260710-220949,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1,exact,1,0,0,600,FEASIBLE,227056.00,116185.15,0.48829737,600.00,600.00,-1.00,-1.00,-1.00,57858,-1.00,227056.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1_m1_exact_s0_20260710-220949.gurobi.log
20260710-221952,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2,exact,1,0,0,600,FEASIBLE,180787.00,119037.58,0.34155898,600.00,600.00,-1.00,-1.00,-1.00,56405,-1.00,180787.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2_m1_exact_s0_20260710-221952.gurobi.log
20260710-222955,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s3,exact,1,0,0,600,FEASIBLE,290467.00,115130.00,0.60363828,600.00,600.00,-1.00,-1.00,-1.00,60544,-1.00,290467.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s3_m1_exact_s0_20260710-222955.gurobi.log
20260710-223958,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s4,exact,1,0,0,600,FEASIBLE,205398.00,120203.59,0.41477723,600.00,600.00,-1.00,-1.00,-1.00,52741,-1.00,205398.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s4_m1_exact_s0_20260710-223958.gurobi.log
20260710-225002,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s5,exact,1,0,0,600,FEASIBLE,179277.00,121365.39,0.32302869,600.00,600.00,-1.00,-1.00,-1.00,45825,-1.00,179277.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s5_m1_exact_s0_20260710-225002.gurobi.log
