
Gurobi 13.0.2 (win64) logging started Sat Jul 11 01:17:39 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s2_m1_exact_s0_20260711-011739.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9842164
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9842164
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x901dfaf1
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [5e+01, 1e+03]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+03, 1e+03]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 6.065235e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 60652.3510    0    3          - 60652.3510      -     -    0s
H    0     0                    397503.00000 60652.3510  84.7%     -    0s
H    0     0                    311805.00000 60652.3510  80.5%     -    0s
H    0     0                    234571.00000 60652.3510  74.1%     -    0s
     0     0 60746.3447    0    8 234571.000 60746.3447  74.1%     -    0s
     0     0 60772.0849    0   10 234571.000 60772.0849  74.1%     -    0s
     0     0 60781.6442    0   12 234571.000 60781.6442  74.1%     -    0s
     0     0 60787.4447    0   14 234571.000 60787.4447  74.1%     -    0s
     0     0 60795.1095    0   16 234571.000 60795.1095  74.1%     -    0s
     0     0 60802.0577    0   14 234571.000 60802.0577  74.1%     -    0s
     0     0 60808.5261    0   16 234571.000 60808.5261  74.1%     -    0s
     0     0 60816.9410    0   16 234571.000 60816.9410  74.1%     -    0s
     0     0 60827.8284    0   13 234571.000 60827.8284  74.1%     -    0s
     0     0 60842.4328    0   15 234571.000 60842.4328  74.1%     -    0s
     0     0 60849.9082    0   15 234571.000 60849.9082  74.1%     -    0s
     0     0 60858.4855    0   16 234571.000 60858.4855  74.1%     -    0s
     0     0 60862.7023    0   13 234571.000 60862.7023  74.1%     -    0s
     0     0 60867.7389    0   15 234571.000 60867.7389  74.1%     -    0s
     0     0 60868.8748    0   17 234571.000 60868.8748  74.1%     -    0s
     0     0 60871.7742    0   16 234571.000 60871.7742  74.0%     -    0s
     0     0 60872.8701    0   17 234571.000 60872.8701  74.0%     -    0s
     0     0 60875.8574    0   16 234571.000 60875.8574  74.0%     -    0s
     0     0 60877.8547    0   18 234571.000 60877.8547  74.0%     -    0s
     0     0 60882.3575    0   20 234571.000 60882.3575  74.0%     -    0s
     0     0 60887.8341    0   18 234571.000 60887.8341  74.0%     -    0s
     0     0 60913.2196    0   16 234571.000 60913.2196  74.0%     -    0s
     0     0 60915.3441    0   17 234571.000 60915.3441  74.0%     -    0s
     0     0 60922.4348    0   16 234571.000 60922.4348  74.0%     -    0s
     0     0 60924.8824    0   19 234571.000 60924.8824  74.0%     -    0s
     0     0 60933.8256    0   16 234571.000 60933.8256  74.0%     -    0s
     0     0 60947.6823    0   17 234571.000 60947.6823  74.0%     -    0s
     0     0 60951.6714    0   19 234571.000 60951.6714  74.0%     -    0s
     0     0 60956.0192    0   20 234571.000 60956.0192  74.0%     -    0s
     0     0 60956.4687    0   18 234571.000 60956.4687  74.0%     -    0s
     0     0 60970.9000    0   18 234571.000 60970.9000  74.0%     -    0s
     0     0 60974.6068    0   20 234571.000 60974.6068  74.0%     -    0s
     0     0 60976.1762    0   19 234571.000 60976.1762  74.0%     -    0s
     0     0 60977.2856    0   22 234571.000 60977.2856  74.0%     -    0s
     0     0 60978.8166    0   24 234571.000 60978.8166  74.0%     -    0s
     0     0 60983.8071    0   22 234571.000 60983.8071  74.0%     -    0s
     0     0 60990.7490    0   19 234571.000 60990.7490  74.0%     -    0s
     0     0 60995.5158    0   23 234571.000 60995.5158  74.0%     -    0s
     0     0 61002.2116    0   19 234571.000 61002.2116  74.0%     -    0s
     0     0 61003.6057    0   19 234571.000 61003.6057  74.0%     -    0s
     0     0 61006.5553    0   22 234571.000 61006.5553  74.0%     -    0s
     0     0 61008.1287    0   22 234571.000 61008.1287  74.0%     -    0s
     0     0 61011.0858    0   25 234571.000 61011.0858  74.0%     -    0s
     0     0 61014.6312    0   25 234571.000 61014.6312  74.0%     -    0s
     0     0 61016.5872    0   26 234571.000 61016.5872  74.0%     -    0s
     0     0 61039.5496    0   22 234571.000 61039.5496  74.0%     -    0s
     0     0 61045.9977    0   25 234571.000 61045.9977  74.0%     -    0s
