
Gurobi 13.0.2 (win64) logging started Sat Jul 11 01:37:45 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK100_nL5_tI2_tJ2_s4_m1_exact_s0_20260711-013745.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.982877
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.982877
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x3ae819f8
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+01, 1e+03]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+03, 1e+03]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 5.548375e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 55483.7516    0    2          - 55483.7516      -     -    0s
H    0     0                    394938.00000 55483.7516  86.0%     -    0s
H    0     0                    361737.00000 55483.7516  84.7%     -    0s
H    0     0                    310439.00000 55483.7516  82.1%     -    0s
H    0     0                    284404.00000 55483.7516  80.5%     -    0s
H    0     0                    227977.00000 55483.7516  75.7%     -    0s
     0     0 55508.3299    0    7 227977.000 55508.3299  75.7%     -    0s
     0     0 55538.3207    0   11 227977.000 55538.3207  75.6%     -    0s
     0     0 55547.0615    0    7 227977.000 55547.0615  75.6%     -    0s
     0     0 55550.7313    0    9 227977.000 55550.7313  75.6%     -    0s
     0     0 55576.9619    0   12 227977.000 55576.9619  75.6%     -    0s
     0     0 55600.8652    0   17 227977.000 55600.8652  75.6%     -    0s
     0     0 55616.8951    0   13 227977.000 55616.8951  75.6%     -    0s
     0     0 55634.5472    0   13 227977.000 55634.5472  75.6%     -    0s
     0     0 55644.2044    0   15 227977.000 55644.2044  75.6%     -    0s
     0     0 55649.6891    0   12 227977.000 55649.6891  75.6%     -    0s
     0     0 55652.9131    0   13 227977.000 55652.9131  75.6%     -    0s
     0     0 55654.1905    0   13 227977.000 55654.1905  75.6%     -    0s
     0     0 55655.6984    0   17 227977.000 55655.6984  75.6%     -    0s
     0     0 55658.1780    0   15 227977.000 55658.1780  75.6%     -    0s
     0     0 55659.8250    0   15 227977.000 55659.8250  75.6%     -    0s
     0     0 55664.4166    0   16 227977.000 55664.4166  75.6%     -    0s
     0     0 55678.6833    0   15 227977.000 55678.6833  75.6%     -    0s
     0     0 55684.9171    0   16 227977.000 55684.9171  75.6%     -    0s
     0     0 55687.9914    0   17 227977.000 55687.9914  75.6%     -    0s
     0     0 55699.8819    0   16 227977.000 55699.8819  75.6%     -    0s
     0     0 55702.9053    0   17 227977.000 55702.9053  75.6%     -    0s
     0     0 55706.1594    0   18 227977.000 55706.1594  75.6%     -    0s
     0     0 55717.6728    0   17 227977.000 55717.6728  75.6%     -    0s
     0     0 55724.5217    0   17 227977.000 55724.5217  75.6%     -    0s
     0     0 55729.8684    0   20 227977.000 55729.8684  75.6%     -    0s
     0     0 55749.2155    0   19 227977.000 55749.2155  75.5%     -    0s
     0     0 55751.3068    0   19 227977.000 55751.3068  75.5%     -    0s
     0     0 55754.0150    0   17 227977.000 55754.0150  75.5%     -    0s
     0     0 55756.7360    0   19 227977.000 55756.7360  75.5%     -    0s
     0     0 55765.8816    0   19 227977.000 55765.8816  75.5%     -    0s
     0     0 55769.8353    0   21 227977.000 55769.8353  75.5%     -    0s
     0     0 55777.2465    0   20 227977.000 55777.2465  75.5%     -    0s
     0     0 55782.7570    0   19 227977.000 55782.7570  75.5%     -    0s
     0     0 55786.8442    0   22 227977.000 55786.8442  75.5%     -    0s
     0     0 55789.3360    0   23 227977.000 55789.3360  75.5%     -    0s
     0     0 55791.4344    0   22 227977.000 55791.4344  75.5%     -    0s
     0     0 55793.3040    0   22 227977.000 55793.3040  75.5%     -    0s
     0     0 55796.7203    0   22 227977.000 55796.7203  75.5%     -    0s
     0     0 55801.3113    0   25 227977.000 55801.3113  75.5%     -    0s
     0     0 55804.9234    0   23 227977.000 55804.9234  75.5%     -    0s
     0     0 55806.7725    0   24 227977.000 55806.7725  75.5%     -    0s
     0     0 55808.8303    0   23 227977.000 55808.8303  75.5%     -    0s
     0     0 55812.0617    0   26 227977.000 55812.0617  75.5%     -    0s
     0     0 55820.5443    0   23 227977.000 55820.5443  75.5%     -    0s
     0     0 55821.8528    0   23 227977.000 55821.8528  75.5%     -    0s
     0     0 55825.1543    0   25 227977.000 55825.1543  75.5%     -    0s
