
Gurobi 13.0.2 (win64) logging started Sat Jul 11 05:04:51 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK100_nL5_tI6_tJ6_s5_m1_exact_s0_20260711-050451.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9811206
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9811206
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x8aa9d41b
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+00, 1e+03]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+03, 1e+03]

Using branch priorities.
Presolve removed 8 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 45 columns, 40 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 6.292871e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 62928.7063    0    2          - 62928.7063      -     -    0s
H    0     0                    154617.00000 62928.7063  59.3%     -    0s
H    0     0                    134810.00000 62928.7063  53.3%     -    0s
H    0     0                    113971.00000 62928.7063  44.8%     -    0s
     0     0 63292.2733    0    5 113971.000 63292.2733  44.5%     -    0s
     0     0 63331.7627    0    8 113971.000 63331.7627  44.4%     -    0s
     0     0 63367.5891    0   11 113971.000 63367.5891  44.4%     -    0s
     0     0 63405.5079    0   10 113971.000 63405.5079  44.4%     -    0s
     0     0 63448.9725    0   13 113971.000 63448.9725  44.3%     -    0s
     0     0 63476.3784    0   13 113971.000 63476.3784  44.3%     -    0s
     0     0 63496.6177    0   15 113971.000 63496.6177  44.3%     -    0s
     0     0 63521.1806    0   15 113971.000 63521.1806  44.3%     -    0s
     0     0 63547.1272    0   18 113971.000 63547.1272  44.2%     -    0s
     0     0 63603.0605    0   15 113971.000 63603.0605  44.2%     -    0s
     0     0 63650.4779    0   19 113971.000 63650.4779  44.2%     -    0s
     0     0 63666.5722    0   19 113971.000 63666.5722  44.1%     -    0s
     0     0 63676.7436    0   20 113971.000 63676.7436  44.1%     -    0s
     0     0 63690.3433    0   18 113971.000 63690.3433  44.1%     -    0s
     0     0 63719.5662    0   16 113971.000 63719.5662  44.1%     -    0s
     0     0 63730.1476    0   18 113971.000 63730.1476  44.1%     -    0s
     0     0 63784.4691    0   15 113971.000 63784.4691  44.0%     -    0s
     0     0 63818.4638    0   16 113971.000 63818.4638  44.0%     -    0s
     0     0 63847.0890    0   17 113971.000 63847.0890  44.0%     -    0s
     0     0 63881.1410    0   20 113971.000 63881.1410  43.9%     -    0s
     0     0 63891.5852    0   19 113971.000 63891.5852  43.9%     -    0s
     0     0 63900.6959    0   20 113971.000 63900.6959  43.9%     -    0s
     0     0 63909.1762    0   19 113971.000 63909.1762  43.9%     -    0s
     0     0 63937.7208    0   18 113971.000 63937.7208  43.9%     -    0s
     0     0 63987.9710    0   20 113971.000 63987.9710  43.9%     -    0s
     0     0 63995.9007    0   19 113971.000 63995.9007  43.8%     -    0s
     0     0 64007.0203    0   21 113971.000 64007.0203  43.8%     -    0s
     0     0 64022.8231    0   21 113971.000 64022.8231  43.8%     -    0s
     0     0 64033.6866    0   19 113971.000 64033.6866  43.8%     -    0s
     0     0 64068.3859    0   19 113971.000 64068.3859  43.8%     -    0s
     0     0 64086.7997    0   19 113971.000 64086.7997  43.8%     -    0s
     0     0 64101.1610    0   20 113971.000 64101.1610  43.8%     -    0s
     0     0 64120.3082    0   19 113971.000 64120.3082  43.7%     -    0s
     0     0 64122.2730    0   22 113971.000 64122.2730  43.7%     -    0s
     0     0 64126.8505    0   20 113971.000 64126.8505  43.7%     -    0s
     0     0 64137.7491    0   24 113971.000 64137.7491  43.7%     -    0s
     0     0 64155.1042    0   22 113971.000 64155.1042  43.7%     -    0s
     0     0 64159.2360    0   24 113971.000 64159.2360  43.7%     -    0s
     0     0 64163.8511    0   23 113971.000 64163.8511  43.7%     -    0s
     0     0 64186.3119    0   21 113971.000 64186.3119  43.7%     -    0s
     0     0 64193.6426    0   22 113971.000 64193.6426  43.7%     -    0s
     0     0 64234.6358    0   20 113971.000 64234.6358  43.6%     -    0s
     0     0 64249.6079    0   23 113971.000 64249.6079  43.6%     -    0s
     0     0 64252.3632    0   22 113971.000 64252.3632  43.6%     -    0s
     0     0 64267.7523    0   21 113971.000 64267.7523  43.6%     -    0s
     0     0 64276.0428    0   23 113971.000 64276.0428  43.6%     -    0s
     0     0 64289.0998    0   20 113971.000 64289.0998  43.6%     -    0s
