
Gurobi 13.0.2 (win64) logging started Sat Jul 11 06:44:28 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI3_tJ3_s5_m1_exact_s0_20260711-064428.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9781496
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9781496
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0x171d3e11
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [6e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 11 rows and 0 columns
Presolve time: 0.00s
Presolved: 9 rows, 50 columns, 180 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.759186e+04, 6 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 57591.8571    0    3          - 57591.8571      -     -    0s
H    0     0                    267322.00000 57591.8571  78.5%     -    0s
H    0     0                    262407.00000 57591.8571  78.1%     -    0s
H    0     0                    252430.00000 57591.8571  77.2%     -    0s
H    0     0                    232789.00000 57591.8571  75.3%     -    0s
H    0     0                    225760.00000 57591.8571  74.5%     -    0s
     0     0 57898.2105    0    7 225760.000 57898.2105  74.4%     -    0s
     0     0 57988.1876    0    7 225760.000 57988.1876  74.3%     -    0s
H    0     0                    222050.00000 57992.2023  73.9%     -    0s
     0     0 58032.2755    0   11 222050.000 58032.2755  73.9%     -    0s
     0     0 58151.6228    0   14 222050.000 58151.6228  73.8%     -    0s
     0     0 58170.7034    0   14 222050.000 58170.7034  73.8%     -    0s
     0     0 58198.6319    0   15 222050.000 58198.6319  73.8%     -    0s
     0     0 58248.2057    0   16 222050.000 58248.2057  73.8%     -    0s
     0     0 58280.8736    0   16 222050.000 58280.8736  73.8%     -    0s
     0     0 58296.9532    0   16 222050.000 58296.9532  73.7%     -    0s
     0     0 58310.0289    0   20 222050.000 58310.0289  73.7%     -    0s
     0     0 58319.5733    0   21 222050.000 58319.5733  73.7%     -    0s
     0     0 58348.5048    0   20 222050.000 58348.5048  73.7%     -    0s
     0     0 58389.7664    0   17 222050.000 58389.7664  73.7%     -    0s
     0     0 58392.9884    0   19 222050.000 58392.9884  73.7%     -    0s
     0     0 58396.5234    0   19 222050.000 58396.5234  73.7%     -    0s
     0     0 58415.7257    0   18 222050.000 58415.7257  73.7%     -    0s
     0     0 58438.3518    0   20 222050.000 58438.3518  73.7%     -    0s
     0     0 58449.1451    0   21 222050.000 58449.1451  73.7%     -    0s
     0     0 58477.4073    0   20 222050.000 58477.4073  73.7%     -    0s
     0     0 58516.6993    0   21 222050.000 58516.6993  73.6%     -    0s
     0     0 58528.8334    0   21 222050.000 58528.8334  73.6%     -    0s
     0     0 58537.7677    0   22 222050.000 58537.7677  73.6%     -    0s
     0     0 58554.4628    0   24 222050.000 58554.4628  73.6%     -    0s
     0     0 58565.0530    0   25 222050.000 58565.0530  73.6%     -    0s
     0     0 58596.9232    0   24 222050.000 58596.9232  73.6%     -    0s
     0     0 58606.2790    0   24 222050.000 58606.2790  73.6%     -    0s
     0     0 58646.3914    0   20 222050.000 58646.3914  73.6%     -    0s
     0     0 58678.1157    0   22 222050.000 58678.1157  73.6%     -    0s
     0     0 58694.3242    0   23 222050.000 58694.3242  73.6%     -    0s
     0     0 58696.9933    0   24 222050.000 58696.9933  73.6%     -    0s
     0     0 58703.0272    0   25 222050.000 58703.0272  73.6%     -    0s
     0     0 58713.2946    0   23 222050.000 58713.2946  73.6%     -    0s
     0     0 58740.1215    0   23 222050.000 58740.1215  73.5%     -    0s
     0     0 58754.0092    0   23 222050.000 58754.0092  73.5%     -    0s
     0     0 58766.8440    0   25 222050.000 58766.8440  73.5%     -    0s
     0     0 58784.2862    0   23 222050.000 58784.2862  73.5%     -    0s
     0     0 58810.1701    0   21 222050.000 58810.1701  73.5%     -    0s
     0     0 58820.8555    0   23 222050.000 58820.8555  73.5%     -    0s
     0     0 58826.3272    0   24 222050.000 58826.3272  73.5%     -    0s
     0     0 58840.1037    0   24 222050.000 58840.1037  73.5%     -    0s
     0     0 58856.8468    0   25 222050.000 58856.8468  73.5%     -    0s
     0     0 58866.1345    0   25 222050.000 58866.1345  73.5%     -    0s
     0     0 58869.9139    0   30 222050.000 58869.9139  73.5%     -    0s
     0     0 58874.9596    0   32 222050.000 58874.9596  73.5%     -    0s
     0     0 58884.5847    0   29 222050.000 58884.5847  73.5%     -    0s
