
Gurobi 13.0.2 (win64) logging started Sat Jul 11 08:03:44 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI5_tJ5_s3_m1_exact_s0_20260711-080344.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9804452
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9804452
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xbfcd80de
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [7e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.926254e+04, 8 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 59262.5440    0    3          - 59262.5440      -     -    0s
H    0     0                    202523.00000 59262.5440  70.7%     -    0s
H    0     0                    187500.00000 59262.5440  68.4%     -    0s
H    0     0                    181614.00000 59262.5440  67.4%     -    0s
H    0     0                    181292.00000 59262.5440  67.3%     -    0s
H    0     0                    179266.00000 59262.5440  66.9%     -    0s
H    0     0                    171099.00000 59262.5440  65.4%     -    0s
     0     0 59423.8382    0    6 171099.000 59423.8382  65.3%     -    0s
     0     0 59485.6042    0    8 171099.000 59485.6042  65.2%     -    0s
     0     0 59518.5563    0    9 171099.000 59518.5563  65.2%     -    0s
     0     0 59539.1719    0   12 171099.000 59539.1719  65.2%     -    0s
     0     0 59559.6315    0   13 171099.000 59559.6315  65.2%     -    0s
     0     0 59606.8764    0   13 171099.000 59606.8764  65.2%     -    0s
     0     0 59640.1019    0   14 171099.000 59640.1019  65.1%     -    0s
     0     0 59709.6993    0   12 171099.000 59709.6993  65.1%     -    0s
     0     0 59725.7451    0   13 171099.000 59725.7451  65.1%     -    0s
     0     0 59734.6969    0   15 171099.000 59734.6969  65.1%     -    0s
     0     0 59743.9039    0   16 171099.000 59743.9039  65.1%     -    0s
     0     0 59770.6502    0   15 171099.000 59770.6502  65.1%     -    0s
     0     0 59803.7346    0   17 171099.000 59803.7346  65.0%     -    0s
     0     0 59826.4988    0   20 171099.000 59826.4988  65.0%     -    0s
     0     0 59856.8078    0   18 171099.000 59856.8078  65.0%     -    0s
     0     0 59868.4224    0   20 171099.000 59868.4224  65.0%     -    0s
     0     0 59880.6905    0   20 171099.000 59880.6905  65.0%     -    0s
     0     0 59889.7573    0   20 171099.000 59889.7573  65.0%     -    0s
     0     0 59908.8310    0   21 171099.000 59908.8310  65.0%     -    0s
     0     0 59920.3730    0   22 171099.000 59920.3730  65.0%     -    0s
     0     0 59929.1779    0   23 171099.000 59929.1779  65.0%     -    0s
     0     0 59938.8484    0   21 171099.000 59938.8484  65.0%     -    0s
     0     0 59953.2510    0   21 171099.000 59953.2510  65.0%     -    0s
     0     0 59965.7021    0   22 171099.000 59965.7021  65.0%     -    0s
     0     0 59973.2501    0   24 171099.000 59973.2501  64.9%     -    0s
     0     0 60013.5376    0   20 171099.000 60013.5376  64.9%     -    0s
     0     0 60032.8819    0   25 171099.000 60032.8819  64.9%     -    0s
     0     0 60044.6712    0   24 171099.000 60044.6712  64.9%     -    0s
     0     0 60050.3896    0   23 171099.000 60050.3896  64.9%     -    0s
     0     0 60059.1066    0   23 171099.000 60059.1066  64.9%     -    0s
     0     0 60061.4327    0   29 171099.000 60061.4327  64.9%     -    0s
     0     0 60065.6972    0   26 171099.000 60065.6972  64.9%     -    0s
     0     0 60068.8671    0   29 171099.000 60068.8671  64.9%     -    0s
     0     0 60075.0755    0   27 171099.000 60075.0755  64.9%     -    0s
     0     0 60077.9548    0   29 171099.000 60077.9548  64.9%     -    0s
     0     0 60082.9621    0   28 171099.000 60082.9621  64.9%     -    0s
     0     0 60102.1377    0   26 171099.000 60102.1377  64.9%     -    0s
     0     0 60107.4950    0   26 171099.000 60107.4950  64.9%     -    0s
     0     0 60116.5219    0   29 171099.000 60116.5219  64.9%     -    0s
     0     0 60120.9412    0   31 171099.000 60120.9412  64.9%     -    0s
     0     0 60135.1446    0   29 171099.000 60135.1446  64.9%     -    0s
     0     0 60167.7133    0   26 171099.000 60167.7133  64.8%     -    0s
     0     0 60183.1797    0   28 171099.000 60183.1797  64.8%     -    0s
     0     0 60186.8913    0   26 171099.000 60186.8913  64.8%     -    0s
     0     0 60193.6471    0   33 171099.000 60193.6471  64.8%     -    0s
