
Gurobi 13.0.2 (win64) logging started Sat Jul 11 08:23:48 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI5_tJ5_s5_m1_exact_s0_20260711-082348.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9811614
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9811614
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0x3083a733
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [3e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 8e+03]
  RHS range        [5e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 6.158350e+04, 6 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 61583.4957    0    3          - 61583.4957      -     -    0s
H    0     0                    174966.00000 61583.4957  64.8%     -    0s
H    0     0                    165691.00000 61583.4957  62.8%     -    0s
H    0     0                    160586.00000 61583.4957  61.7%     -    0s
     0     0 61749.9468    0    6 160586.000 61749.9468  61.5%     -    0s
     0     0 61918.2689    0   11 160586.000 61918.2689  61.4%     -    0s
     0     0 61976.0817    0   14 160586.000 61976.0817  61.4%     -    0s
H    0     0                    148662.00000 61979.8345  58.3%     -    0s
     0     0 62027.6470    0   16 148662.000 62027.6470  58.3%     -    0s
     0     0 62053.3621    0   16 148662.000 62053.3621  58.3%     -    0s
     0     0 62084.0242    0   19 148662.000 62084.0242  58.2%     -    0s
     0     0 62113.9726    0   17 148662.000 62113.9726  58.2%     -    0s
     0     0 62182.5400    0   19 148662.000 62182.5400  58.2%     -    0s
     0     0 62196.2999    0   18 148662.000 62196.2999  58.2%     -    0s
     0     0 62234.7607    0   17 148662.000 62234.7607  58.1%     -    0s
     0     0 62244.0318    0   23 148662.000 62244.0318  58.1%     -    0s
     0     0 62277.7873    0   22 148662.000 62277.7873  58.1%     -    0s
     0     0 62307.2528    0   21 148662.000 62307.2528  58.1%     -    0s
     0     0 62342.1471    0   23 148662.000 62342.1471  58.1%     -    0s
     0     0 62352.4832    0   26 148662.000 62352.4832  58.1%     -    0s
     0     0 62367.1983    0   24 148662.000 62367.1983  58.0%     -    0s
     0     0 62374.5812    0   26 148662.000 62374.5812  58.0%     -    0s
     0     0 62429.9458    0   22 148662.000 62429.9458  58.0%     -    0s
     0     0 62464.5810    0   22 148662.000 62464.5810  58.0%     -    0s
     0     0 62491.5670    0   25 148662.000 62491.5670  58.0%     -    0s
     0     0 62508.7494    0   25 148662.000 62508.7494  58.0%     -    0s
     0     0 62524.2719    0   27 148662.000 62524.2719  57.9%     -    0s
     0     0 62537.5394    0   28 148662.000 62537.5394  57.9%     -    0s
     0     0 62548.9677    0   28 148662.000 62548.9677  57.9%     -    0s
     0     0 62559.3979    0   30 148662.000 62559.3979  57.9%     -    0s
     0     0 62578.5629    0   29 148662.000 62578.5629  57.9%     -    0s
     0     0 62589.0745    0   28 148662.000 62589.0745  57.9%     -    0s
     0     0 62629.3074    0   26 148662.000 62629.3074  57.9%     -    0s
     0     0 62650.2757    0   30 148662.000 62650.2757  57.9%     -    0s
     0     0 62662.4087    0   30 148662.000 62662.4087  57.8%     -    0s
     0     0 62668.2221    0   33 148662.000 62668.2221  57.8%     -    0s
     0     0 62717.5022    0   26 148662.000 62717.5022  57.8%     -    0s
     0     0 62746.1267    0   26 148662.000 62746.1267  57.8%     -    0s
     0     0 62771.6362    0   33 148662.000 62771.6362  57.8%     -    0s
     0     0 62822.5969    0   29 148662.000 62822.5969  57.7%     -    0s
     0     0 62836.6736    0   29 148662.000 62836.6736  57.7%     -    0s
     0     0 62859.8539    0   32 148662.000 62859.8539  57.7%     -    0s
     0     0 62865.7993    0   31 148662.000 62865.7993  57.7%     -    0s
     0     0 62870.6689    0   33 148662.000 62870.6689  57.7%     -    0s
     0     0 62879.0632    0   35 148662.000 62879.0632  57.7%     -    0s
     0     0 62902.5582    0   30 148662.000 62902.5582  57.7%     -    0s
     0     0 62921.4862    0   29 148662.000 62921.4862  57.7%     -    0s
     0     0 62930.6226    0   30 148662.000 62930.6226  57.7%     -    0s
     0     0 62935.5495    0   29 148662.000 62935.5495  57.7%     -    0s
     0     0 62945.4661    0   32 148662.000 62945.4661  57.7%     -    0s
     0     0 62958.9165    0   36 148662.000 62958.9165  57.6%     -    0s
