
Gurobi 13.0.2 (win64) logging started Sat Jul 11 08:33:50 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s1_m1_exact_s0_20260711-083349.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9800458
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9800458
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xb4f08ac2
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.812310e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 58123.0952    0    2          - 58123.0952      -     -    0s
H    0     0                    178079.00000 58123.0952  67.4%     -    0s
H    0     0                    167452.00000 58123.0952  65.3%     -    0s
H    0     0                    164407.00000 58123.0952  64.6%     -    0s
H    0     0                    159058.00000 58123.0952  63.5%     -    0s
     0     0 58234.1289    0    5 159058.000 58234.1289  63.4%     -    0s
     0     0 58351.3694    0   11 159058.000 58351.3694  63.3%     -    0s
H    0     0                    157200.00000 58351.3694  62.9%     -    0s
H    0     0                    157081.00000 58361.2743  62.8%     -    0s
H    0     0                    147679.00000 58361.2743  60.5%     -    0s
H    0     0                    144125.00000 58361.2743  59.5%     -    0s
     0     0 58475.1737    0   11 144125.000 58475.1737  59.4%     -    0s
     0     0 58514.9095    0   13 144125.000 58514.9095  59.4%     -    0s
     0     0 58580.9732    0   14 144125.000 58580.9732  59.4%     -    0s
     0     0 58643.7539    0   13 144125.000 58643.7539  59.3%     -    0s
     0     0 58709.7923    0   14 144125.000 58709.7923  59.3%     -    0s
     0     0 58724.7720    0   15 144125.000 58724.7720  59.3%     -    0s
     0     0 58761.0481    0   14 144125.000 58761.0481  59.2%     -    0s
     0     0 58779.8798    0   18 144125.000 58779.8798  59.2%     -    0s
     0     0 58810.3948    0   18 144125.000 58810.3948  59.2%     -    0s
     0     0 58821.0843    0   19 144125.000 58821.0843  59.2%     -    0s
     0     0 58860.0767    0   17 144125.000 58860.0767  59.2%     -    0s
     0     0 58884.6240    0   18 144125.000 58884.6240  59.1%     -    0s
     0     0 58901.1818    0   19 144125.000 58901.1818  59.1%     -    0s
     0     0 58916.5301    0   16 144125.000 58916.5301  59.1%     -    0s
     0     0 58941.8200    0   19 144125.000 58941.8200  59.1%     -    0s
     0     0 58976.5922    0   21 144125.000 58976.5922  59.1%     -    0s
     0     0 58990.1323    0   22 144125.000 58990.1323  59.1%     -    0s
     0     0 59024.2250    0   21 144125.000 59024.2250  59.0%     -    0s
     0     0 59033.8488    0   23 144125.000 59033.8488  59.0%     -    0s
     0     0 59052.7457    0   21 144125.000 59052.7457  59.0%     -    0s
     0     0 59063.8063    0   23 144125.000 59063.8063  59.0%     -    0s
     0     0 59079.3923    0   23 144125.000 59079.3923  59.0%     -    0s
     0     0 59111.2338    0   25 144125.000 59111.2338  59.0%     -    0s
     0     0 59116.9456    0   24 144125.000 59116.9456  59.0%     -    0s
     0     0 59148.2010    0   24 144125.000 59148.2010  59.0%     -    0s
     0     0 59188.1721    0   25 144125.000 59188.1721  58.9%     -    0s
     0     0 59209.8569    0   29 144125.000 59209.8569  58.9%     -    0s
     0     0 59231.8008    0   28 144125.000 59231.8008  58.9%     -    0s
     0     0 59275.8228    0   24 144125.000 59275.8228  58.9%     -    0s
     0     0 59294.3273    0   26 144125.000 59294.3273  58.9%     -    0s
     0     0 59323.2052    0   27 144125.000 59323.2052  58.8%     -    0s
     0     0 59352.8291    0   26 144125.000 59352.8291  58.8%     -    0s
     0     0 59409.3377    0   25 144125.000 59409.3377  58.8%     -    0s
     0     0 59435.4703    0   26 144125.000 59435.4703  58.8%     -    0s
     0     0 59462.5030    0   23 144125.000 59462.5030  58.7%     -    0s
     0     0 59471.7505    0   27 144125.000 59471.7505  58.7%     -    0s
     0     0 59477.8188    0   26 144125.000 59477.8188  58.7%     -    0s
     0     0 59483.7996    0   30 144125.000 59483.7996  58.7%     -    0s
     0     0 59495.6195    0   29 144125.000 59495.6195  58.7%     -    0s
     0     0 59505.8882    0   28 144125.000 59505.8882  58.7%     -    0s
     0     0 59515.6055    0   31 144125.000 59515.6055  58.7%     -    0s
