
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:00:55 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s4_m1_exact_s0_20260711-090055.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9802063
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9802063
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0xf230b005
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [4e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 5.670869e+04, 7 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 56708.6872    0    3          - 56708.6872      -     -    0s
H    0     0                    157768.00000 56708.6872  64.1%     -    0s
H    0     0                    154274.00000 56708.6872  63.2%     -    0s
H    0     0                    148048.00000 56708.6872  61.7%     -    0s
H    0     0                    143969.00000 56708.6872  60.6%     -    0s
H    0     0                    141137.00000 56708.6872  59.8%     -    0s
     0     0 56864.8737    0    4 141137.000 56864.8737  59.7%     -    0s
     0     0 56938.1286    0    6 141137.000 56938.1286  59.7%     -    0s
H    0     0                    141119.00000 56938.1286  59.7%     -    0s
     0     0 56986.7596    0   10 141119.000 56986.7596  59.6%     -    0s
     0     0 57077.4491    0   10 141119.000 57077.4491  59.6%     -    0s
     0     0 57119.8030    0   13 141119.000 57119.8030  59.5%     -    0s
     0     0 57164.3270    0   13 141119.000 57164.3270  59.5%     -    0s
     0     0 57216.4319    0   13 141119.000 57216.4319  59.5%     -    0s
     0     0 57257.7723    0   13 141119.000 57257.7723  59.4%     -    0s
     0     0 57283.8122    0   15 141119.000 57283.8122  59.4%     -    0s
     0     0 57313.2312    0   13 141119.000 57313.2312  59.4%     -    0s
     0     0 57324.0152    0   16 141119.000 57324.0152  59.4%     -    0s
     0     0 57332.6423    0   19 141119.000 57332.6423  59.4%     -    0s
     0     0 57361.8113    0   15 141119.000 57361.8113  59.4%     -    0s
     0     0 57375.4326    0   19 141119.000 57375.4326  59.3%     -    0s
     0     0 57395.2142    0   19 141119.000 57395.2142  59.3%     -    0s
     0     0 57396.7168    0   21 141119.000 57396.7168  59.3%     -    0s
     0     0 57409.3530    0   21 141119.000 57409.3530  59.3%     -    0s
     0     0 57418.5750    0   23 141119.000 57418.5750  59.3%     -    0s
     0     0 57425.4440    0   23 141119.000 57425.4440  59.3%     -    0s
     0     0 57428.2660    0   22 141119.000 57428.2660  59.3%     -    0s
     0     0 57440.0907    0   23 141119.000 57440.0907  59.3%     -    0s
     0     0 57485.8263    0   24 141119.000 57485.8263  59.3%     -    0s
     0     0 57490.7649    0   25 141119.000 57490.7649  59.3%     -    0s
     0     0 57506.6488    0   23 141119.000 57506.6488  59.2%     -    0s
     0     0 57522.2036    0   26 141119.000 57522.2036  59.2%     -    0s
     0     0 57533.8798    0   26 141119.000 57533.8798  59.2%     -    0s
     0     0 57543.2193    0   26 141119.000 57543.2193  59.2%     -    0s
     0     0 57555.9765    0   27 141119.000 57555.9765  59.2%     -    0s
     0     0 57563.2060    0   26 141119.000 57563.2060  59.2%     -    0s
     0     0 57582.9419    0   28 141119.000 57582.9419  59.2%     -    0s
     0     0 57618.5702    0   28 141119.000 57618.5702  59.2%     -    0s
     0     0 57680.1087    0   22 141119.000 57680.1087  59.1%     -    0s
     0     0 57702.9403    0   24 141119.000 57702.9403  59.1%     -    0s
     0     0 57707.4354    0   26 141119.000 57707.4354  59.1%     -    0s
     0     0 57715.2811    0   27 141119.000 57715.2811  59.1%     -    0s
     0     0 57734.3222    0   28 141119.000 57734.3222  59.1%     -    0s
     0     0 57751.4188    0   28 141119.000 57751.4188  59.1%     -    0s
     0     0 57804.0897    0   25 141119.000 57804.0897  59.0%     -    0s
     0     0 57815.2492    0   27 141119.000 57815.2492  59.0%     -    0s
     0     0 57819.2853    0   32 141119.000 57819.2853  59.0%     -    0s
     0     0 57824.7815    0   28 141119.000 57824.7815  59.0%     -    0s
     0     0 57842.5356    0   29 141119.000 57842.5356  59.0%     -    0s
     0     0 57868.6977    0   31 141119.000 57868.6977  59.0%     -    0s
     0     0 57897.8627    0   30 141119.000 57897.8627  59.0%     -    0s
     0     0 57951.0704    0   28 141119.000 57951.0704  58.9%     -    0s
