
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:10:58 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL10_tI6_tJ6_s5_m1_exact_s0_20260711-091058.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9801204
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9801204
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 20 rows, 50 columns and 400 nonzeros (Min)
Model fingerprint: 0x445775cd
Model has 50 linear objective coefficients
Variable types: 10 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 18 rows and 0 columns
Presolve time: 0.00s
Presolved: 2 rows, 50 columns, 40 nonzeros
Variable types: 10 continuous, 40 integer (40 binary)

Root relaxation: objective 6.377820e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 63778.2026    0    3          - 63778.2026      -     -    0s
H    0     0                    152743.00000 63778.2026  58.2%     -    0s
H    0     0                    144968.00000 63778.2026  56.0%     -    0s
H    0     0                    143939.00000 63778.2026  55.7%     -    0s
H    0     0                    142533.00000 63778.2026  55.3%     -    0s
H    0     0                    135720.00000 63778.2026  53.0%     -    0s
     0     0 64273.5448    0    5 135720.000 64273.5448  52.6%     -    0s
     0     0 64368.7734    0    8 135720.000 64368.7734  52.6%     -    0s
H    0     0                    135145.00000 64368.7734  52.4%     -    0s
     0     0 64473.3529    0   13 135145.000 64473.3529  52.3%     -    0s
     0     0 64587.8334    0   15 135145.000 64587.8334  52.2%     -    0s
     0     0 64718.4578    0   16 135145.000 64718.4578  52.1%     -    0s
     0     0 64819.5569    0   15 135145.000 64819.5569  52.0%     -    0s
     0     0 64877.1802    0   14 135145.000 64877.1802  52.0%     -    0s
     0     0 64989.2964    0   15 135145.000 64989.2964  51.9%     -    0s
     0     0 65038.2415    0   14 135145.000 65038.2415  51.9%     -    0s
     0     0 65173.5674    0   14 135145.000 65173.5674  51.8%     -    0s
     0     0 65228.0594    0   15 135145.000 65228.0594  51.7%     -    0s
     0     0 65246.3570    0   17 135145.000 65246.3570  51.7%     -    0s
     0     0 65282.8354    0   18 135145.000 65282.8354  51.7%     -    0s
     0     0 65326.6841    0   16 135145.000 65326.6841  51.7%     -    0s
     0     0 65351.9666    0   17 135145.000 65351.9666  51.6%     -    0s
     0     0 65358.4195    0   19 135145.000 65358.4195  51.6%     -    0s
     0     0 65398.2505    0   16 135145.000 65398.2505  51.6%     -    0s
     0     0 65435.8123    0   17 135145.000 65435.8123  51.6%     -    0s
     0     0 65497.6368    0   19 135145.000 65497.6368  51.5%     -    0s
     0     0 65516.8990    0   18 135145.000 65516.8990  51.5%     -    0s
     0     0 65550.9914    0   18 135145.000 65550.9914  51.5%     -    0s
     0     0 65584.9356    0   18 135145.000 65584.9356  51.5%     -    0s
     0     0 65608.5265    0   19 135145.000 65608.5265  51.5%     -    0s
     0     0 65647.9262    0   16 135145.000 65647.9262  51.4%     -    0s
     0     0 65696.6278    0   18 135145.000 65696.6278  51.4%     -    0s
     0     0 65742.3706    0   20 135145.000 65742.3706  51.4%     -    0s
     0     0 65782.9293    0   19 135145.000 65782.9293  51.3%     -    0s
     0     0 65798.2079    0   21 135145.000 65798.2079  51.3%     -    0s
     0     0 65836.3936    0   19 135145.000 65836.3936  51.3%     -    0s
     0     0 65852.4024    0   17 135145.000 65852.4024  51.3%     -    0s
     0     0 65929.6156    0   19 135145.000 65929.6156  51.2%     -    0s
     0     0 66009.6458    0   19 135145.000 66009.6458  51.2%     -    0s
     0     0 66043.2422    0   20 135145.000 66043.2422  51.1%     -    0s
     0     0 66052.2860    0   24 135145.000 66052.2860  51.1%     -    0s
     0     0 66105.9698    0   20 135145.000 66105.9698  51.1%     -    0s
     0     0 66180.7502    0   18 135145.000 66180.7502  51.0%     -    0s
     0     0 66210.4526    0   18 135145.000 66210.4526  51.0%     -    0s
     0     0 66244.1589    0   20 135145.000 66244.1589  51.0%     -    0s
     0     0 66286.3808    0   17 135145.000 66286.3808  51.0%     -    0s
     0     0 66316.1519    0   22 135145.000 66316.1519  50.9%     -    0s
     0     0 66344.4057    0   21 135145.000 66344.4057  50.9%     -    0s
     0     0 66371.4522    0   23 135145.000 66371.4522  50.9%     -    0s
     0     0 66383.4759    0   24 135145.000 66383.4759  50.9%     -    0s
     0     0 66389.8534    0   23 135145.000 66389.8534  50.9%     -    0s
     0     0 66398.9361    0   23 135145.000 66398.9361  50.9%     -    0s
