
Gurobi 13.0.2 (win64) logging started Sat Jul 11 09:31:02 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s2_m1_exact_s0_20260711-093102.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9894558
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9894558
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0xca5dbd0b
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [2e+01, 7e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 7e+02]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.843882e+04, 4 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 28438.8203    0    2          - 28438.8203      -     -    0s
H    0     0                    184111.00000 28438.8203  84.6%     -    0s
H    0     0                    184005.00000 28438.8203  84.5%     -    0s
H    0     0                    146817.00000 28438.8203  80.6%     -    0s
H    0     0                    142500.00000 28438.8203  80.0%     -    0s
H    0     0                    123162.00000 28438.8203  76.9%     -    0s
H    0     0                    123083.00000 28438.8203  76.9%     -    0s
H    0     0                    121834.00000 28438.8203  76.7%     -    0s
H    0     0                    108137.00000 28438.8203  73.7%     -    0s
H    0     0                    107836.00000 28438.8203  73.6%     -    0s
     0     0 28494.1897    0    7 107836.000 28494.1897  73.6%     -    0s
     0     0 28520.9901    0    9 107836.000 28520.9901  73.6%     -    0s
H    0     0                    100755.00000 28523.5171  71.7%     -    0s
     0     0 28531.0538    0    7 100755.000 28531.0538  71.7%     -    0s
     0     0 28546.6559    0    7 100755.000 28546.6559  71.7%     -    0s
     0     0 28552.3225    0    6 100755.000 28552.3225  71.7%     -    0s
     0     0 28563.0128    0   13 100755.000 28563.0128  71.7%     -    0s
     0     0 28566.6458    0   15 100755.000 28566.6458  71.6%     -    0s
     0     0 28578.3490    0   13 100755.000 28578.3490  71.6%     -    0s
     0     0 28588.5043    0   12 100755.000 28588.5043  71.6%     -    0s
     0     0 28594.3643    0   12 100755.000 28594.3643  71.6%     -    0s
     0     0 28614.7982    0   11 100755.000 28614.7982  71.6%     -    0s
     0     0 28634.6687    0   11 100755.000 28634.6687  71.6%     -    0s
     0     0 28647.3886    0    9 100755.000 28647.3886  71.6%     -    0s
     0     0 28652.7952    0   14 100755.000 28652.7952  71.6%     -    0s
     0     0 28653.8594    0   15 100755.000 28653.8594  71.6%     -    0s
     0     0 28656.4842    0   14 100755.000 28656.4842  71.6%     -    0s
     0     0 28658.3400    0   18 100755.000 28658.3400  71.6%     -    0s
     0     0 28659.3240    0   16 100755.000 28659.3240  71.6%     -    0s
     0     0 28661.2172    0   17 100755.000 28661.2172  71.6%     -    0s
     0     0 28662.0704    0   17 100755.000 28662.0704  71.6%     -    0s
     0     0 28664.6290    0   17 100755.000 28664.6290  71.6%     -    0s
     0     0 28666.9015    0   17 100755.000 28666.9015  71.5%     -    0s
     0     0 28668.9067    0   17 100755.000 28668.9067  71.5%     -    0s
     0     0 28679.2260    0   14 100755.000 28679.2260  71.5%     -    0s
     0     0 28679.5760    0   17 100755.000 28679.5760  71.5%     -    0s
     0     0 28684.1085    0   15 100755.000 28684.1085  71.5%     -    0s
     0     0 28685.2375    0   18 100755.000 28685.2375  71.5%     -    0s
     0     0 28687.5729    0   21 100755.000 28687.5729  71.5%     -    0s
     0     0 28688.2124    0   21 100755.000 28688.2124  71.5%     -    0s
     0     0 28690.0926    0   20 100755.000 28690.0926  71.5%     -    0s
     0     0 28691.7646    0   21 100755.000 28691.7646  71.5%     -    0s
     0     0 28693.6367    0   21 100755.000 28693.6367  71.5%     -    0s
     0     0 28695.7558    0   20 100755.000 28695.7558  71.5%     -    0s
     0     0 28697.1233    0   20 100755.000 28697.1233  71.5%     -    0s
     0     0 28701.1627    0   22 100755.000 28701.1627  71.5%     -    0s
     0     0 28702.4826    0   23 100755.000 28702.4826  71.5%     -    0s
     0     0 28704.0013    0   26 100755.000 28704.0013  71.5%     -    0s
     0     0 28708.0452    0   22 100755.000 28708.0452  71.5%     -    0s
     0     0 28709.4625    0   23 100755.000 28709.4625  71.5%     -    0s
     0     0 28713.4743    0   20 100755.000 28713.4743  71.5%     -    0s
     0     0 28715.4886    0   24 100755.000 28715.4886  71.5%     -    0s
