
Gurobi 13.0.2 (win64) logging started Wed Jul 15 21:17:36 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s5_m1_exact_s0_20260715-211736.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9885411
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9885411
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x5a30286e
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [6e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 6e+03]
  RHS range        [6e+02, 6e+02]

Using branch priorities.
Presolve removed 6 rows and 0 columns
Presolve time: 0.00s
Presolved: 4 rows, 45 columns, 80 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.731744e+04, 5 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 27317.4448    0    2          - 27317.4448      -     -    0s
H    0     0                    163641.00000 27317.4448  83.3%     -    0s
H    0     0                    154557.00000 27317.4448  82.3%     -    0s
H    0     0                    145396.00000 27317.4448  81.2%     -    0s
H    0     0                    131478.00000 27317.4448  79.2%     -    0s
H    0     0                    124388.00000 27317.4448  78.0%     -    0s
     0     0 27425.3353    0    5 124388.000 27425.3353  78.0%     -    0s
     0     0 27445.9438    0    9 124388.000 27445.9438  77.9%     -    0s
H    0     0                    124055.00000 27446.6675  77.9%     -    0s
H    0     0                    117065.00000 27446.6675  76.6%     -    0s
     0     0 27477.1664    0   10 117065.000 27477.1664  76.5%     -    0s
H    0     0                    108411.00000 27477.1664  74.7%     -    0s
     0     0 27486.3028    0   11 108411.000 27486.3028  74.6%     -    0s
     0     0 27509.2889    0   12 108411.000 27509.2889  74.6%     -    0s
     0     0 27515.3147    0   15 108411.000 27515.3147  74.6%     -    0s
     0     0 27534.7100    0   12 108411.000 27534.7100  74.6%     -    0s
     0     0 27540.8621    0   14 108411.000 27540.8621  74.6%     -    0s
     0     0 27558.8017    0   14 108411.000 27558.8017  74.6%     -    0s
     0     0 27567.9600    0   15 108411.000 27567.9600  74.6%     -    0s
     0     0 27569.4058    0   18 108411.000 27569.4058  74.6%     -    0s
     0     0 27573.4117    0   16 108411.000 27573.4117  74.6%     -    0s
     0     0 27587.9190    0   15 108411.000 27587.9190  74.6%     -    0s
     0     0 27590.7951    0   15 108411.000 27590.7951  74.5%     -    0s
     0     0 27592.5457    0   19 108411.000 27592.5457  74.5%     -    0s
     0     0 27594.6149    0   18 108411.000 27594.6149  74.5%     -    0s
     0     0 27596.6793    0   17 108411.000 27596.6793  74.5%     -    0s
     0     0 27598.0843    0   21 108411.000 27598.0843  74.5%     -    0s
     0     0 27599.5992    0   21 108411.000 27599.5992  74.5%     -    0s
     0     0 27612.6972    0   20 108411.000 27612.6972  74.5%     -    0s
     0     0 27618.7291    0   19 108411.000 27618.7291  74.5%     -    0s
     0     0 27624.4170    0   20 108411.000 27624.4170  74.5%     -    0s
     0     0 27636.6483    0   20 108411.000 27636.6483  74.5%     -    0s
     0     0 27640.8280    0   20 108411.000 27640.8280  74.5%     -    0s
     0     0 27648.9154    0   20 108411.000 27648.9154  74.5%     -    0s
     0     0 27650.5193    0   21 108411.000 27650.5193  74.5%     -    0s
     0     0 27651.6389    0   22 108411.000 27651.6389  74.5%     -    0s
     0     0 27660.6479    0   21 108411.000 27660.6479  74.5%     -    0s
     0     0 27666.1004    0   23 108411.000 27666.1004  74.5%     -    0s
     0     0 27685.8466    0   21 108411.000 27685.8466  74.5%     -    0s
     0     0 27696.8601    0   24 108411.000 27696.8601  74.5%     -    0s
     0     0 27706.4311    0   21 108411.000 27706.4311  74.4%     -    0s
     0     0 27709.3805    0   23 108411.000 27709.3805  74.4%     -    0s
     0     0 27710.4360    0   25 108411.000 27710.4360  74.4%     -    0s
     0     0 27713.0681    0   27 108411.000 27713.0681  74.4%     -    0s
     0     0 27739.6639    0   26 108411.000 27739.6639  74.4%     -    0s
     0     0 27748.0061    0   20 108411.000 27748.0061  74.4%     -    0s
     0     0 27752.7751    0   19 108411.000 27752.7751  74.4%     -    0s
     0     0 27756.3605    0   19 108411.000 27756.3605  74.4%     -    0s
     0     0 27759.6563    0   20 108411.000 27759.6563  74.4%     -    0s
     0     0 27762.0314    0   20 108411.000 27762.0314  74.4%     -    0s
     0     0 27763.2331    0   21 108411.000 27763.2331  74.4%     -    0s
     0     0 27764.6447    0   27 108411.000 27764.6447  74.4%     -    0s
