
Gurobi 13.0.2 (win64) logging started Wed Jul 15 21:57:44 2026

Set parameter LogFile to value "logs/kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s4_m1_exact_s0_20260715-215744.gurobi.log"
Set parameter Seed to value 0
Set parameter TimeLimit to value 599.9887855
Set parameter MIPGap to value 0
Set parameter MIPGapAbs to value 0.5
Set parameter Cutoff to value 1e+100
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 32 threads

Non-default parameters:
TimeLimit  599.9887855
MIPGap  0
MIPGapAbs  0.5
PreCrush  1
LazyConstraints  1

Optimize a model with 10 rows, 45 columns and 200 nonzeros (Min)
Model fingerprint: 0x8cfc2a54
Model has 45 linear objective coefficients
Variable types: 5 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [5e+00, 6e+02]
  Objective range  [1e+00, 5e+02]
  Bounds range     [1e+00, 7e+03]
  RHS range        [6e+02, 6e+02]

Using branch priorities.
Presolve removed 2 rows and 0 columns
Presolve time: 0.00s
Presolved: 8 rows, 45 columns, 160 nonzeros
Variable types: 5 continuous, 40 integer (40 binary)

Root relaxation: objective 2.947549e+04, 8 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 29475.4943    0    2          - 29475.4943      -     -    0s
H    0     0                    139949.00000 29475.4943  78.9%     -    0s
H    0     0                    130174.00000 29475.4943  77.4%     -    0s
H    0     0                    116978.00000 29475.4943  74.8%     -    0s
H    0     0                    106403.00000 29475.4943  72.3%     -    0s
     0     0 29805.4461    0    6 106403.000 29805.4461  72.0%     -    0s
     0     0 29916.9827    0    5 106403.000 29916.9827  71.9%     -    0s
H    0     0                    99548.000000 29918.2397  69.9%     -    0s
     0     0 30033.3790    0   12 99548.0000 30033.3790  69.8%     -    0s
     0     0 30088.8923    0   11 99548.0000 30088.8923  69.8%     -    0s
H    0     0                    84759.000000 30093.2674  64.5%     -    0s
H    0     0                    76633.000000 30093.2674  60.7%     -    0s
     0     0 30159.6507    0   13 76633.0000 30159.6507  60.6%     -    0s
     0     0 30231.9909    0   12 76633.0000 30231.9909  60.5%     -    0s
     0     0 30290.2230    0   12 76633.0000 30290.2230  60.5%     -    0s
     0     0 30307.1030    0   13 76633.0000 30307.1030  60.5%     -    0s
     0     0 30310.2344    0   17 76633.0000 30310.2344  60.4%     -    0s
     0     0 30328.0540    0   16 76633.0000 30328.0540  60.4%     -    0s
     0     0 30359.0886    0   17 76633.0000 30359.0886  60.4%     -    0s
     0     0 30376.9240    0   18 76633.0000 30376.9240  60.4%     -    0s
     0     0 30381.4825    0   17 76633.0000 30381.4825  60.4%     -    0s
     0     0 30408.0819    0   20 76633.0000 30408.0819  60.3%     -    0s
     0     0 30481.5729    0   16 76633.0000 30481.5729  60.2%     -    0s
     0     0 30484.2915    0   19 76633.0000 30484.2915  60.2%     -    0s
     0     0 30508.6277    0   18 76633.0000 30508.6277  60.2%     -    0s
     0     0 30513.7076    0   18 76633.0000 30513.7076  60.2%     -    0s
     0     0 30521.2544    0   20 76633.0000 30521.2544  60.2%     -    0s
     0     0 30546.6924    0   17 76633.0000 30546.6924  60.1%     -    0s
     0     0 30593.7705    0   18 76633.0000 30593.7705  60.1%     -    0s
     0     0 30618.2825    0   20 76633.0000 30618.2825  60.0%     -    0s
     0     0 30622.3677    0   21 76633.0000 30622.3677  60.0%     -    0s
     0     0 30640.9342    0   21 76633.0000 30640.9342  60.0%     -    0s
     0     0 30649.7746    0   21 76633.0000 30649.7746  60.0%     -    0s
     0     0 30664.3010    0   22 76633.0000 30664.3010  60.0%     -    0s
     0     0 30680.4139    0   22 76633.0000 30680.4139  60.0%     -    0s
     0     0 30692.3765    0   23 76633.0000 30692.3765  59.9%     -    0s
     0     0 30715.3090    0   23 76633.0000 30715.3090  59.9%     -    0s
     0     0 30720.2423    0   24 76633.0000 30720.2423  59.9%     -    0s
     0     0 30729.8107    0   24 76633.0000 30729.8107  59.9%     -    0s
     0     0 30734.7398    0   25 76633.0000 30734.7398  59.9%     -    0s
     0     0 30743.7385    0   25 76633.0000 30743.7385  59.9%     -    0s
     0     0 30754.5850    0   25 76633.0000 30754.5850  59.9%     -    0s
     0     0 30767.8506    0   23 76633.0000 30767.8506  59.9%     -    0s
     0     0 30788.3751    0   22 76633.0000 30788.3751  59.8%     -    0s
     0     0 30809.4527    0   25 76633.0000 30809.4527  59.8%     -    0s
     0     0 30826.0013    0   21 76633.0000 30826.0013  59.8%     -    0s
     0     0 30839.5416    0   22 76633.0000 30839.5416  59.8%     -    0s
     0     0 30864.6433    0   22 76633.0000 30864.6433  59.7%     -    0s
     0     0 30870.9754    0   22 76633.0000 30870.9754  59.7%     -    0s
     0     0 30876.2207    0   24 76633.0000 30876.2207  59.7%     -    0s
     0     0 30889.5765    0   22 76633.0000 30889.5765  59.7%     -    0s
