datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260710-212130,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1,exact,0,0,0,600,OPTIMAL,134555.00,134555.00,0.00000000,0.29,0.36,-1.00,-1.00,-1.00,0,-1.00,134555.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1_m0_exact_s0_20260710-212130.gurobi.log
20260710-212130,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1,exact,1,0,0,600,OPTIMAL,134555.00,134555.00,0.00000000,487.69,488.06,-1.00,-1.00,-1.00,48617,-1.00,134555.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s1_m1_exact_s0_20260710-212130.gurobi.log
20260710-212938,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2,exact,0,0,0,600,OPTIMAL,129583.00,129583.00,0.00000000,0.30,0.36,-1.00,-1.00,-1.00,0,-1.00,129583.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2_m0_exact_s0_20260710-212938.gurobi.log
20260710-212939,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2,exact,1,0,0,600,FEASIBLE,263233.00,118092.50,0.55137654,601.78,602.07,-1.00,-1.00,-1.00,51326,-1.00,263233.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s2_m1_exact_s0_20260710-212939.gurobi.log
20260710-213941,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3,exact,0,0,0,600,OPTIMAL,127495.00,127495.00,0.00000000,0.32,0.38,-1.00,-1.00,-1.00,0,-1.00,127495.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3_m0_exact_s0_20260710-213941.gurobi.log
20260710-213941,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3,exact,1,0,0,600,FEASIBLE,269164.00,117063.65,0.56508428,601.39,601.61,-1.00,-1.00,-1.00,48487,-1.00,269164.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s3_m1_exact_s0_20260710-213941.gurobi.log
20260710-214943,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4,exact,0,0,0,600,OPTIMAL,126887.00,126887.00,0.00000000,0.31,0.36,-1.00,-1.00,-1.00,0,-1.00,126887.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4_m0_exact_s0_20260710-214943.gurobi.log
20260710-214943,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4,exact,1,0,0,600,FEASIBLE,228257.00,116668.35,0.48887286,602.35,602.63,-1.00,-1.00,-1.00,54790,-1.00,228257.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s4_m1_exact_s0_20260710-214943.gurobi.log
20260710-215946,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5,exact,0,0,0,600,OPTIMAL,129745.00,129744.66,0.00000259,0.32,0.39,-1.00,-1.00,-1.00,0,-1.00,129745.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5_m0_exact_s0_20260710-215946.gurobi.log
20260710-215947,kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5,exact,1,0,0,600,FEASIBLE,255525.00,119397.96,0.53273473,601.75,602.12,-1.00,-1.00,-1.00,58042,-1.00,255525.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI2_tJ2_s5_m1_exact_s0_20260710-215947.gurobi.log
20260710-220949,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1,exact,0,0,0,600,OPTIMAL,127987.00,127987.00,0.00000000,0.33,0.40,-1.00,-1.00,-1.00,0,-1.00,127987.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1_m0_exact_s0_20260710-220949.gurobi.log
20260710-220949,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1,exact,1,0,0,600,FEASIBLE,227056.00,116185.15,0.48829737,602.12,602.56,-1.00,-1.00,-1.00,57858,-1.00,227056.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s1_m1_exact_s0_20260710-220949.gurobi.log
20260710-221952,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2,exact,0,0,0,600,OPTIMAL,127389.00,127389.00,0.00000000,0.25,0.31,-1.00,-1.00,-1.00,0,-1.00,127389.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2_m0_exact_s0_20260710-221952.gurobi.log
20260710-221952,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2,exact,1,0,0,600,FEASIBLE,180787.00,119037.58,0.34155898,601.20,601.88,-1.00,-1.00,-1.00,56405,-1.00,180787.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s2_m1_exact_s0_20260710-221952.gurobi.log
20260710-222954,kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s3,exact,0,0,0,600,OPTIMAL,125312.00,125312.00,0.00000000,0.33,0.38,-1.00,-1.00,-1.00,0,-1.00,125312.00,1,13.0.2,logs/kstar_nI20_nJ20_nK100_nL10_tI3_tJ3_s3_m0_exact_s0_20260710-222954.gurobi.log
