instance,nI,nJ,nK,nL,kstar_py,kstar_xp,kstar_I,kstar_J,kI_per_product,kJ_per_product,D_per_product,xp_match
PSC1-C1-100-10.txt,100,200,400,10,69,69,23,46,23;22;23;22;22;22;22;22;22;22,43;46;45;44;45;44;45;44;44;43,6023;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC1-C1-100-5.txt,100,200,400,5,67,67,23,44,23;22;22;22;22,43;44;44;43;42,6023;6015;6028;6019;6033,1
PSC1-C1-50-10.txt,50,100,200,10,34,34,11,23,11;11;11;11;11;11;11;11;11;11,22;22;22;22;22;22;22;23;22;22,3008;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC1-C1-50-5.txt,50,100,200,5,36,36,12,24,11;12;11;11;11,22;22;22;24;22,3008;3061;3115;2997;3018,1
PSC1-C2-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;21;21;22;21;21;22;21;21;21,6023;6093;6102;5921;6138;6000;5950;6023;5942;5925,1
PSC1-C2-100-5.txt,100,200,400,5,33,33,11,22,11;11;11;11;11,21;21;21;21;22,6023;5946;6007;6047;5996,1
PSC1-C2-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,3008;3032;3071;2949;3046;3000;2961;2950;2961;3008,1
PSC1-C2-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,3008;2978;3071;3097;2975,1
PSC1-C3-100-10.txt,100,200,400,10,14,14,5,9,5;5;5;5;5;5;5;5;5;5,9;9;9;9;9;9;9;9;9;9,6023;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC1-C3-100-5.txt,100,200,400,5,14,14,5,9,5;5;5;5;5,9;9;9;9;9,6023;6015;6028;6019;6033,1
PSC1-C3-50-10.txt,50,100,200,10,8,8,3,5,3;3;3;3;3;3;3;3;3;3,5;5;5;5;5;5;5;5;5;5,3008;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC1-C3-50-5.txt,50,100,200,5,8,8,3,5,3;3;3;3;3,5;5;5;5;5,3008;3061;3115;2997;3018,1
PSC1-C4-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,6023;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC1-C4-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,6023;6015;6028;6019;6033,1
PSC1-C4-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,3008;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC1-C4-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,3008;3061;3115;2997;3018,1
PSC1-C5-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,6023;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC1-C5-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,6023;6015;6028;6019;6033,1
PSC1-C5-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,3008;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC1-C5-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,3008;3061;3115;2997;3018,1
PSC2-C1-100-10.txt,100,200,400,10,69,69,23,46,22;22;23;22;22;22;22;22;22;22,43;46;45;44;45;44;45;44;44;43,5997;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC2-C1-100-5.txt,100,200,400,5,66,66,22,44,22;22;22;22;22,43;44;44;43;42,5997;6015;6028;6019;6033,1
PSC2-C1-50-10.txt,50,100,200,10,34,34,11,23,11;11;11;11;11;11;11;11;11;11,22;22;22;22;22;22;22;23;22;22,3017;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC2-C1-50-5.txt,50,100,200,5,36,36,12,24,11;12;11;11;11,22;22;22;24;22,3017;3061;3115;2997;3018,1
PSC2-C2-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,5997;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC2-C2-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,5997;6015;6028;6019;6033,1
PSC2-C2-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,3017;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC2-C2-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,3017;3061;3115;2997;3018,1
PSC2-C3-100-10.txt,100,200,400,10,14,14,5,9,5;5;5;5;5;5;5;5;5;5,9;9;9;9;9;9;9;9;9;9,5997;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC2-C3-100-5.txt,100,200,400,5,14,14,5,9,5;5;5;5;5,9;9;9;9;9,5997;6015;6028;6019;6033,1
PSC2-C3-50-10.txt,50,100,200,10,8,8,3,5,3;3;3;3;3;3;3;3;3;3,5;5;5;5;5;5;5;5;5;5,3017;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC2-C3-50-5.txt,50,100,200,5,8,8,3,5,3;3;3;3;3,5;5;5;5;5,3017;3061;3115;2997;3018,1
PSC2-C4-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,5997;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC2-C4-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,5997;6015;6028;6019;6033,1
PSC2-C4-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,3017;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC2-C4-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,3017;3061;3115;2997;3018,1
PSC2-C5-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;21;21;22;21;21;22;21;21;21,5997;6093;6102;5921;6138;6000;5950;6023;5942;5925,1
PSC2-C5-100-5.txt,100,200,400,5,33,33,11,22,11;11;11;11;11,21;21;21;21;22,5997;5946;6007;6047;5996,1
PSC2-C5-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,3017;3032;3071;2949;3046;3000;2961;2950;2961;3008,1
PSC2-C5-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,3017;2978;3071;3097;2975,1
PSC3-C1-100-10.txt,100,200,400,10,69,69,23,46,23;22;23;22;22;22;22;22;22;22,44;46;45;44;45;44;45;44;44;43,5941;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC3-C1-100-5.txt,100,200,400,5,67,67,23,44,23;22;22;22;22,44;44;44;43;42,5941;6015;6028;6019;6033,1
PSC3-C1-50-10.txt,50,100,200,10,34,34,11,23,11;11;11;11;11;11;11;11;11;11,22;22;22;22;22;22;22;23;22;22,2994;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC3-C1-50-5.txt,50,100,200,5,36,36,12,24,11;12;11;11;11,22;22;22;24;22,2994;3061;3115;2997;3018,1
PSC3-C2-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,6007;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC3-C2-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,6007;6015;6028;6019;6033,1
PSC3-C2-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,2994;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC3-C2-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,2994;3061;3115;2997;3018,1
PSC3-C3-100-10.txt,100,200,400,10,14,14,5,9,5;5;5;5;5;5;5;5;5;5,9;9;9;9;9;9;9;9;9;9,5941;6093;6102;5921;6138;6000;5950;6023;5942;5925,1
PSC3-C3-100-5.txt,100,200,400,5,14,14,5,9,5;5;5;5;5,9;9;9;9;9,5941;5946;6007;6047;5996,1
PSC3-C3-50-10.txt,50,100,200,10,8,8,3,5,3;3;3;3;3;3;3;3;3;3,5;5;5;5;5;5;5;5;5;5,2994;3032;3071;2949;3046;3000;2961;2950;2961;3008,1
PSC3-C3-50-5.txt,50,100,200,5,8,8,3,5,3;3;3;3;3,5;5;5;5;5,2994;2978;3071;3097;2975,1
PSC3-C4-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,5941;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC3-C4-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,5941;6015;6028;6019;6033,1
PSC3-C4-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,2994;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC3-C4-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,2994;3061;3115;2997;3018,1
PSC3-C5-100-10.txt,100,200,400,10,33,33,11,22,11;11;11;11;11;11;11;11;11;11,21;22;22;21;22;21;22;21;22;21,5941;5993;5973;6023;5985;6061;5981;6065;5994;6013,1
PSC3-C5-100-5.txt,100,200,400,5,32,32,11,21,11;11;11;11;11,21;21;21;21;21,5941;6015;6028;6019;6033,1
PSC3-C5-50-10.txt,50,100,200,10,17,17,6,11,6;6;6;6;6;6;6;6;6;6,11;11;11;11;11;11;11;11;11;11,2994;2989;2960;3030;2970;3093;3007;3060;2967;3013,1
PSC3-C5-50-5.txt,50,100,200,5,17,17,6,11,6;6;6;6;6,11;11;11;11;11,2994;3061;3115;2997;3018,1
