datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260711-102947,PSC1-C1-100-10,exact,0,0,0,3600,FEASIBLE,6524947.00,6511980.73,0.00198718,3599.85,3600.00,-1.00,-1.00,-1.00,0,-1.00,6524947.00,1,13.0.2,logs/PSC1-C1-100-10_m0_exact_s0_20260711-102947.gurobi.log
20260711-112950,PSC1-C1-100-5,exact,0,0,0,3600,FEASIBLE,3791865.00,3784782.35,0.00186785,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3791865.00,1,13.0.2,logs/PSC1-C1-100-5_m0_exact_s0_20260711-112950.gurobi.log
20260711-122952,PSC1-C1-50-10,exact,0,0,0,3600,FEASIBLE,3275611.00,3265534.74,0.00307615,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3275611.00,1,13.0.2,logs/PSC1-C1-50-10_m0_exact_s0_20260711-122952.gurobi.log
20260711-132953,PSC1-C1-50-5,exact,0,0,0,3600,OPTIMAL,1923801.00,1923801.00,0.00000000,2000.77,2001.24,-1.00,-1.00,-1.00,0,-1.00,1923801.00,1,13.0.2,logs/PSC1-C1-50-5_m0_exact_s0_20260711-132953.gurobi.log
20260711-140315,PSC1-C2-100-10,exact,0,0,0,3600,FEASIBLE,6464704.00,5921319.81,0.08405399,3599.35,3600.00,-1.00,-1.00,-1.00,0,-1.00,6462862.00,1,13.0.2,logs/PSC1-C2-100-10_m0_exact_s0_20260711-140315.gurobi.log
20260711-150317,PSC1-C2-100-5,exact,0,0,0,3600,FEASIBLE,3201168.00,3191945.76,0.00288090,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3201168.00,1,13.0.2,logs/PSC1-C2-100-5_m0_exact_s0_20260711-150317.gurobi.log
20260711-160319,PSC1-C2-50-10,exact,0,0,0,3600,FEASIBLE,3091878.50,2973028.18,0.03843952,3599.98,3600.00,-1.00,-1.00,-1.00,0,-1.00,3075957.00,1,13.0.2,logs/PSC1-C2-50-10_m0_exact_s0_20260711-160319.gurobi.log
20260711-170320,PSC1-C2-50-5,exact,0,0,0,3600,FEASIBLE,1637849.00,1629008.55,0.00539760,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1637849.00,1,13.0.2,logs/PSC1-C2-50-5_m0_exact_s0_20260711-170320.gurobi.log
20260711-180321,PSC1-C3-100-10,exact,0,0,0,3600,FEASIBLE,52772822.00,50543859.94,0.04223693,3599.42,3600.00,-1.00,-1.00,-1.00,0,-1.00,52764309.00,1,13.0.2,logs/PSC1-C3-100-10_m0_exact_s0_20260711-180321.gurobi.log
20260711-190324,PSC1-C3-100-5,exact,0,0,0,3600,FEASIBLE,26595924.00,25511495.91,0.04077422,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,26590230.00,1,13.0.2,logs/PSC1-C3-100-5_m0_exact_s0_20260711-190324.gurobi.log
