instance,obj,gap,status,root_lp,nodes,best_obj,best_bound
PSC1-C1-100-10,6524947.00,0.00198718,FEASIBLE,6.510505e+06,62,6.524947000000e+06,6.511980727564e+06
PSC1-C1-100-5,3791865.00,0.00186785,FEASIBLE,3.783904e+06,2974,3.791865000000e+06,3.784782348022e+06
PSC1-C1-50-10,3275611.00,0.00307615,FEASIBLE,3.260694e+06,5281,3.275611000000e+06,3.265534740134e+06
PSC1-C1-50-5,1923801.00,0.00000000,OPTIMAL,1.913648e+06,38433,1.923801000000e+06,1.923801000000e+06
PSC1-C2-100-10,6464704.00,0.08405399,FEASIBLE,5.918939e+06,1,6.464704000000e+06,5.921319807655e+06
PSC1-C2-100-5,3201168.00,0.00288090,FEASIBLE,3.188344e+06,1412,3.201168000000e+06,3.191945757460e+06
PSC1-C2-50-10,3091878.50,0.03843952,FEASIBLE,2.964834e+06,32,3.091878495010e+06,2.973028180561e+06
PSC1-C2-50-5,1637849.00,0.00539760,FEASIBLE,1.621912e+06,5519,1.637849000000e+06,1.629008547672e+06
PSC1-C3-100-10,52772822.00,0.04223693,FEASIBLE,5.045066e+07,1,5.277282200000e+07,5.054385993963e+07
PSC1-C3-100-5,26595924.00,0.04077422,FEASIBLE,2.537526e+07,1,2.659592400000e+07,2.551149591408e+07
PSC1-C3-50-10,25662998.00,0.00464402,FEASIBLE,2.529781e+07,1685,2.566299800000e+07,2.554381848778e+07
PSC1-C3-50-5,13057564.00,0.00482934,FEASIBLE,1.282850e+07,5016,1.305756400000e+07,1.299450456007e+07
PSC1-C4-100-10,9062778.00,0.27067668,FEASIBLE,6.594622e+06,1,9.062778000000e+06,6.609695366568e+06
PSC1-C4-100-5,4087041.00,0.12183501,FEASIBLE,3.568197e+06,1,4.087041000000e+06,3.589096330650e+06
PSC1-C4-50-10,4080920.00,0.17130755,FEASIBLE,3.335424e+06,1,4.080920000000e+06,3.381827584108e+06
PSC1-C4-50-5,1885811.00,0.01937992,FEASIBLE,1.819369e+06,1857,1.885811000000e+06,1.849264124264e+06
PSC1-C5-100-10,53113791.00,0.04240469,FEASIBLE,5.079176e+07,1,5.311379100000e+07,5.086151694416e+07
PSC1-C5-100-5,26344228.00,0.02066950,FEASIBLE,2.571357e+07,1,2.634422800000e+07,2.579970591037e+07
PSC1-C5-50-10,25715816.44,0.00299694,FEASIBLE,2.547842e+07,576,2.571581644348e+07,2.563874766291e+07
PSC1-C5-50-5,13137534.00,0.00342197,FEASIBLE,1.300419e+07,3410,1.313753400000e+07,1.309257776880e+07
