instance,nI,nJ,nK,nL,kstar,status,obj,nodes,time_s,timeout
PSC1-C2-50-5.txt,50,100,200,5,17,TIMEOUT,inf,313,60.125,1
PSC1-C3-50-5.txt,50,100,200,5,8,TIMEOUT,inf,262,60.157,1
PSC1-C4-50-5.txt,50,100,200,5,17,TIMEOUT,inf,252,60.135,1
PSC1-C5-50-5.txt,50,100,200,5,17,TIMEOUT,inf,255,60.157,1
PSC2-C2-50-5.txt,50,100,200,5,17,TIMEOUT,inf,315,60.051,1
PSC2-C3-50-5.txt,50,100,200,5,8,TIMEOUT,inf,258,60.065,1
PSC2-C4-50-5.txt,50,100,200,5,17,TIMEOUT,inf,255,60.073,1
PSC2-C5-50-5.txt,50,100,200,5,17,TIMEOUT,inf,258,60.128,1
PSC3-C2-50-5.txt,50,100,200,5,17,TIMEOUT,inf,309,60.172,1
PSC3-C3-50-5.txt,50,100,200,5,8,TIMEOUT,inf,262,60.094,1
PSC4-C3-50-5.txt,50,100,200,5,8,TIMEOUT,inf,255,60.014,1
PSC5-C3-50-5.txt,50,100,200,5,8,TIMEOUT,inf,261,60.167,1
