instance,kstar,status_on,status_off,obj_on,obj_off,nodes_on,nodes_off,time_on,time_off,p1_on,p1_off,p2i_on,p2i_off,p2b_on,p2b_off,p3_on,p3_off
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s1,4,OPTIMAL,OPTIMAL,26812,26812,20075,20075,17.023,17.614,40,0,0,40,3965,3965,6019,6019
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s2,4,OPTIMAL,OPTIMAL,27180,27180,6905,6905,6.711,6.446,2,0,0,2,3450,3450,0,0
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s3,4,OPTIMAL,OPTIMAL,23916,23916,16279,16279,13.731,14.032,21,0,0,21,7072,7072,1038,1038
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s1,8,OPTIMAL,OPTIMAL,27098,27098,6323,6323,6.452,6.580,126,0,0,126,3030,3030,0,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s2,8,OPTIMAL,OPTIMAL,27596,27596,3601,3601,3.726,5.154,53,0,0,53,1744,1744,0,0
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s3,8,OPTIMAL,OPTIMAL,26321,26321,3811,3811,4.018,4.225,40,0,0,40,1861,1861,0,0
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s1,12,OPTIMAL,OPTIMAL,28904,28904,1881,1881,4.494,4.014,224,0,0,224,714,714,0,0
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s2,12,OPTIMAL,OPTIMAL,29902,29902,1669,1669,2.002,1.982,76,0,0,76,755,755,0,0
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s3,12,OPTIMAL,OPTIMAL,27333,27333,4427,4427,5.765,5.207,384,0,0,384,1826,1826,0,0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s1,16,OPTIMAL,OPTIMAL,30684,30684,293,293,0.280,0.264,109,0,0,109,36,36,0,0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s2,16,OPTIMAL,OPTIMAL,33497,33497,813,813,0.628,0.675,300,0,0,300,101,101,0,0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s3,16,OPTIMAL,OPTIMAL,28683,28683,903,903,0.862,0.840,208,0,0,208,241,241,0,0
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s1,4,TIMEOUT,TIMEOUT,22636,22636,39919,53447,60.000,60.001,0,0,0,0,19946,26711,0,0
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s2,4,TIMEOUT,TIMEOUT,22072,22072,47481,42157,60.000,60.001,0,0,0,0,23721,21057,3,3
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s3,4,TIMEOUT,OPTIMAL,20702,20702,53120,53357,60.001,58.738,0,0,0,1,26506,26627,41,41
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s1,8,TIMEOUT,TIMEOUT,22668,22668,52203,55371,60.000,60.000,580,0,0,581,16283,17865,9207,9207
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s2,8,TIMEOUT,TIMEOUT,23439,23439,48776,48542,60.001,60.000,0,0,0,0,24369,24252,0,0
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s3,8,OPTIMAL,OPTIMAL,21407,21407,51195,51195,56.925,56.017,141,0,0,141,25449,25449,0,0
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s1,12,TIMEOUT,TIMEOUT,22497,22497,50052,51476,60.001,60.001,2343,0,0,2355,21386,22086,1277,1277
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s2,12,OPTIMAL,OPTIMAL,24405,24405,31887,31887,40.645,40.903,693,0,0,693,15231,15231,11,11
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s3,12,OPTIMAL,OPTIMAL,24534,24534,22719,22719,28.223,30.109,500,0,0,500,10400,10400,435,435
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s1,16,OPTIMAL,OPTIMAL,22373,22373,21611,21611,25.641,26.073,2359,0,0,2359,8297,8297,139,139
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s2,16,OPTIMAL,OPTIMAL,21781,21781,8021,8021,10.377,10.282,383,0,0,383,3622,3622,0,0
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s3,16,OPTIMAL,OPTIMAL,22459,22459,12125,12125,14.794,14.755,1238,0,0,1238,4820,4820,0,0
