460 rows -> results/q1_xp.csv
kstar nI nJ nK nL | n solved censored | med_time_solved med_nodes
    4  10  10   30   3 |  3  3  0 |     13.662      16279
    4  12  12   30   3 |  3  1  2 |     58.737      56575
    4  14  14   30   3 |  3  0  3 |          -          -
    4  15  15   30   3 |  3  0  3 |          -          -
    4  20  20   30   3 |  3  0  3 |          -          -
    4  20  20   50   5 |  5  0  5 |          -          -
    4  20  20   50  10 |  5  0  5 |          -          -
    4  20  20  100   5 |  5  0  5 |          -          -
    4  20  20  100  10 |  5  0  5 |          -          -
    4  20  40   50   5 |  5  0  5 |          -          -
    4  20  40   50  10 |  5  0  5 |          -          -
    4  20  40  100   5 |  5  0  5 |          -          -
    4  20  40  100  10 |  5  0  5 |          -          -
    4  40  20   50   5 |  5  0  5 |          -          -
    4  40  20   50  10 |  5  0  5 |          -          -
    4  40  20  100   5 |  5  0  5 |          -          -
    4  40  20  100  10 |  5  0  5 |          -          -
    4  40  40   50   5 |  5  0  5 |          -          -
    4  40  40   50  10 |  5  0  5 |          -          -
    4  40  40  100   5 |  5  0  5 |          -          -
    4  40  40  100  10 |  5  0  5 |          -          -
    6  20  20   50   5 |  5  0  5 |          -          -
    6  20  20   50  10 |  5  0  5 |          -          -
    6  20  20  100   5 |  5  0  5 |          -          -
    6  20  20  100  10 |  5  0  5 |          -          -
    6  20  40   50   5 |  5  0  5 |          -          -
    6  20  40   50  10 |  5  0  5 |          -          -
    6  20  40  100   5 |  5  0  5 |          -          -
    6  20  40  100  10 |  5  0  5 |          -          -
    6  40  20   50   5 |  5  0  5 |          -          -
    6  40  20   50  10 |  5  0  5 |          -          -
    6  40  20  100   5 |  5  0  5 |          -          -
    6  40  20  100  10 |  5  0  5 |          -          -
    6  40  40   50   5 |  5  0  5 |          -          -
    6  40  40   50  10 |  5  0  5 |          -          -
    6  40  40  100   5 |  5  0  5 |          -          -
    6  40  40  100  10 |  5  0  5 |          -          -
    8  10  10   30   3 |  3  3  0 |      3.986       3811
    8  12  12   30   3 |  3  1  2 |     57.164      51195
    8  14  14   30   3 |  3  0  3 |          -          -
    8  15  15   30   3 |  3  0  3 |          -          -
    8  20  20   30   3 |  3  0  3 |          -          -
    8  20  20   50   5 |  5  0  5 |          -          -
    8  20  20   50  10 |  5  0  5 |          -          -
    8  20  20  100   5 |  5  0  5 |          -          -
    8  20  20  100  10 |  5  0  5 |          -          -
    8  20  40   50   5 |  5  0  5 |          -          -
    8  20  40   50  10 |  5  0  5 |          -          -
    8  20  40  100   5 |  5  0  5 |          -          -
    8  20  40  100  10 |  5  0  5 |          -          -
    8  40  20   50   5 |  5  0  5 |          -          -
    8  40  20   50  10 |  5  0  5 |          -          -
    8  40  20  100   5 |  5  0  5 |          -          -
    8  40  20  100  10 |  5  0  5 |          -          -
    8  40  40   50   5 |  5  0  5 |          -          -
    8  40  40   50  10 |  5  0  5 |          -          -
    8  40  40  100   5 |  5  0  5 |          -          -
    8  40  40  100  10 |  5  0  5 |          -          -
   10  20  20   50   5 |  5  0  5 |          -          -
   10  20  20   50  10 |  5  0  5 |          -          -
   10  20  20  100   5 |  5  0  5 |          -          -
   10  20  20  100  10 |  5  0  5 |          -          -
   10  20  40   50   5 |  5  0  5 |          -          -
   10  20  40   50  10 |  5  0  5 |          -          -
   10  20  40  100   5 |  5  0  5 |          -          -
   10  20  40  100  10 |  5  0  5 |          -          -
   10  40  20   50   5 |  5  0  5 |          -          -
   10  40  20   50  10 |  5  0  5 |          -          -
   10  40  20  100   5 |  5  0  5 |          -          -
   10  40  20  100  10 |  5  0  5 |          -          -
   10  40  40   50   5 |  5  0  5 |          -          -
   10  40  40   50  10 |  5  0  5 |          -          -
   10  40  40  100   5 |  5  0  5 |          -          -
   10  40  40  100  10 |  5  0  5 |          -          -
   12  10  10   30   3 |  3  3  0 |      2.308       1881
   12  12  12   30   3 |  3  2  1 |     36.221      27303
   12  14  14   30   3 |  3  0  3 |          -          -
   12  15  15   30   3 |  3  0  3 |          -          -
   12  20  20   30   3 |  3  0  3 |          -          -
   12  20  20   50   5 |  5  0  5 |          -          -
   12  20  20   50  10 |  5  0  5 |          -          -
   12  20  20  100   5 |  5  0  5 |          -          -
   12  20  20  100  10 |  5  0  5 |          -          -
   12  20  40   50   5 |  5  0  5 |          -          -
   12  20  40   50  10 |  5  0  5 |          -          -
   12  20  40  100   5 |  5  0  5 |          -          -
   12  20  40  100  10 |  5  0  5 |          -          -
   12  40  20   50   5 |  5  0  5 |          -          -
   12  40  20   50  10 |  5  0  5 |          -          -
   12  40  20  100   5 |  5  0  5 |          -          -
   12  40  20  100  10 |  5  0  5 |          -          -
   12  40  40   50   5 |  5  0  5 |          -          -
   12  40  40   50  10 |  5  0  5 |          -          -
   12  40  40  100   5 |  5  0  5 |          -          -
   12  40  40  100  10 |  5  0  5 |          -          -
   16  10  10   30   3 |  3  3  0 |      0.643        813
   16  12  12   30   3 |  3  3  0 |     15.032      12125
   16  14  14   30   3 |  3  0  3 |          -          -
   16  15  15   30   3 |  3  0  3 |          -          -
   16  20  20   30   3 |  3  0  3 |          -          -
